domain,date,post,attention_index,true_distance,T_it,is_com,length,age_years,has_hyphen,has_digit,exact_match,alpha_i,lambda_t,log_price_latent,sale_prob,sold,log_price_obs,price_obs,embedding_distance
chat.com,2021-01-01,0,0.3359874836512351,0.0,0.3359874836512351,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0396726244417217,2.1311361537768936,0.3539667742875458,0,,,-1.986821492513021e-07
chat.com,2021-02-01,0,0.2752221455353199,0.0,0.2752221455353199,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.0178893454240406,1.4917538254576366,0.2532819017298868,1,1.468905144066513,4.344475960946119,-1.986821492513021e-07
chat.com,2021-03-01,0,0.406768391053023,0.0,0.406768391053023,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.0336816288215257,1.7837328931206058,0.2968798387141661,0,,,-1.986821492513021e-07
chat.com,2021-04-01,0,0.3121234992276242,0.0,0.3121234992276242,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.045900413255735,1.8798107080761224,0.3121381867450704,1,1.8076316518589413,6.095992888865285,-1.986821492513021e-07
chat.com,2021-05-01,0,0.26354724563406,0.0,0.26354724563406,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.032777126790547,1.7194471089586243,0.286914990786682,1,1.6805346673725912,5.368425525895842,-1.986821492513021e-07
chat.com,2021-06-01,0,0.2531854475922174,0.0,0.2531854475922174,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0249553220989961,1.800032307712982,0.2994379405108074,0,,,-1.986821492513021e-07
chat.com,2021-07-01,0,0.4057914660956223,0.0,0.4057914660956223,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.0113885638121981,2.367133016083035,0.3954045262704182,1,2.33190696130894,10.297559869641749,-1.986821492513021e-07
chat.com,2021-08-01,0,0.1464739585012751,0.0,0.1464739585012751,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0357118733865854,1.6790741748528557,0.2807601046503691,0,,,-1.986821492513021e-07
chat.com,2021-09-01,0,0.269116890981264,0.0,0.269116890981264,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.0560924422174068,1.647774918209228,0.2760443062434543,0,,,-1.986821492513021e-07
chat.com,2021-10-01,0,0.4622323827169752,0.0,0.4622323827169752,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0348498551461574,1.632249275750502,0.2737233569311262,1,1.638411517418172,5.146987115775789,-1.986821492513021e-07
chat.com,2021-11-01,0,0.3224509335458511,0.0,0.3224509335458511,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0216896702509504,2.075476815822378,0.3444800885300396,0,,,-1.986821492513021e-07
chat.com,2021-12-01,0,0.4073162554442109,0.0,0.4073162554442109,1,4,4.472862087709626,0,0,1,0.1263363107037679,-0.0753898222294595,1.9053923954838,0.3162724046984654,1,2.075964112295296,7.972228878965065,-1.986821492513021e-07
chat.com,2022-01-01,0,0.3841999456713614,0.0,0.3841999456713614,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0753116617698443,1.7834318376586529,0.2968327086412791,0,,,-1.986821492513021e-07
chat.com,2022-02-01,0,0.3347300558116977,0.0,0.3347300558116977,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.016995246483286,2.014022405500306,0.3341480487582863,0,,,-1.986821492513021e-07
chat.com,2022-03-01,0,0.2172871533693374,0.0,0.2172871533693374,1,4,4.472862087709626,0,0,1,0.1263363107037679,0.0382715364617547,2.042578314350046,0.3389299717185811,0,,,-1.986821492513021e-07
