domain,date,post,attention_index,true_distance,embedding_distance,T_it,is_com,length,age_years,has_hyphen,has_digit,exact_match,alpha_i,lambda_t,log_price_latent,sale_prob,sold,log_price_obs,price_obs
chat.com,2021-02-01,0,0.2752221455353199,0.0,,0.2752221455353199,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.017889345424040606,1.4917538254576366,0.25328190172988685,1,1.468905144066513,4.344475960946119
chat.com,2021-04-01,0,0.3121234992276242,0.0,,0.3121234992276242,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.045900413255735,1.8798107080761226,0.31213818674507043,1,1.8076316518589413,6.095992888865285
chat.com,2021-05-01,0,0.26354724563406,0.0,,0.26354724563406,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.03277712679054707,1.7194471089586243,0.286914990786682,1,1.6805346673725912,5.368425525895842
chat.com,2021-07-01,0,0.4057914660956223,0.0,,0.4057914660956223,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.011388563812198193,2.367133016083035,0.3954045262704182,1,2.3319069613089396,10.297559869641749
chat.com,2021-10-01,0,0.4622323827169752,0.0,,0.4622323827169752,1,4,4.472862087709626,0,0,1,0.12633631070376794,0.034849855146157446,1.632249275750502,0.2737233569311262,1,1.638411517418172,5.146987115775789
chat.com,2021-12-01,0,0.4073162554442109,0.0,,0.4073162554442109,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.07538982222945954,1.9053923954838001,0.31627240469846546,1,2.075964112295296,7.972228878965065
chat.com,2022-04-01,0,0.24393039290204152,0.0,,0.24393039290204152,1,4,4.472862087709626,0,0,1,0.12633631070376794,0.05780678743228197,2.153543481900162,0.35781912290890566,1,2.124748828181693,8.370794716330234
chat.com,2023-01-01,1,0.8810444478696753,0.0,,0.8810444478696753,1,4,4.472862087709626,0,0,1,0.12633631070376794,0.08864919260485112,2.099535546798662,0.34856603440316086,1,2.110853863033436,8.255287160628907
chat.com,2023-12-01,1,0.8274249768643629,0.0,,0.8274249768643629,1,4,4.472862087709626,0,0,1,0.12633631070376794,-0.005095118588771402,2.2747155167441933,0.37896034620834024,1,2.1164060639329856,8.301249651847236
chat.com,2024-10-01,1,0.6635088533861369,0.0,,0.6635088533861369,1,4,4.472862087709626,0,0,1,0.12633631070376794,0.05332508295905208,2.1450240915588106,0.35635224200316107,1,2.0979551664142684,8.149488515216976
